Respondent_ID,Persona_Segment,Q1_Age_Group,Q2_City_Type,Q3_Occupation,Q4_Monthly_Income_INR,Q5_Exercise_Frequency,Q6_Workout_Location,Q7_Primary_Fitness_Goal,Q8_Biggest_Fitness_Challenge,Q9_Diet_Type,Q10_Dietary_Restrictions_Allergies,Q11_Meal_Management,Q12_Biggest_Diet_Challenge,Q13_Travel_Frequency,Q14_Daily_Routine,Q15_Time_Available_for_Fitness,Q16_Current_Fitness_App_User,Q17_Preferred_App_Features,Q18_Willingness_to_Pay_Monthly,Q19_What_Would_Make_You_Pay,Q20_Likelihood_to_Use_App,Q21_Current_Weight_Category,Q22_Problem_Impact_Score_1_to_5,Q23_Days_Followed_Plan_in_Last_30_Days,Q24_When_You_Stop_Following_Routine,Q25_Why_Stopped_Using_Fitness_Apps,Q26_If_Guaranteed_Results_3_Months_How_Much_Pay,Q27_Primary_Motivation_to_Stay_Fit,Q28_Level_of_Control_Over_Daily_Meals
228,young_professional,25-34,Tier 1,Working Professional,"20,000-50,000",1-2 times/week,Home,Not sure,Lack of time,Eggetarian,None,Mix of both,No time to cook,,Somewhat structured,30-60 mins,Yes,"Form correction via video, Calorie tracking via photo, Allergy-specific diets",₹499-₹999,"Proven results, Personalization, Convenience",Likely,Normal,5,20+,Lack of motivation,Not personalized,₹999,Health concerns,Partial control
229,family_health_seeker,45-54,Tier 2,Homemaker,"20,000-50,000",3-4 times/week,Home,Weight loss,No proper diet,Non-vegetarian,None,Home-cooked,Don't know what to eat,Rarely,Highly unpredictable,<30 mins,No,"AI workout plan, Allergy-specific diets, Calorie tracking via photo",₹199-₹499,"Personalization, Proven results",Neutral,,2,0-5,Social events,Never used any,₹999,Mental well-being,Full control (cook myself)
230,gym_enthusiast,25-34,Tier 3 / Rural,Working Professional,"20,000-50,000",3-4 times/week,Gym,Muscle gain,Lack of knowledge,Vegan,None,Home-cooked,Lack of consistency,Rarely,Highly unpredictable,60-90 mins,Yes,"Form correction via video, AI workout plan, Calorie tracking via photo",₹199-₹499,"Personalization, Convenience",Likely,Normal,5,11-20,Never started properly,Too complicated,₹999,Looking good (aesthetics),Full control (cook myself)
231,family_health_seeker,35-44,Tier 1,Homemaker,"2,00,000+",3-4 times/week,Outdoors,General fitness,No proper diet,Non-vegetarian,None,Home-cooked,Cravings,Frequently,Somewhat structured,<30 mins,Yes,"Allergy-specific diets, Diet planning",₹999+,"Personalization, Proven results",Neutral,Normal,3,11-20,Never started properly,Too complicated,₹2000+,Looking good (aesthetics),Full control (cook myself)
232,gym_enthusiast,25-34,Tier 3 / Rural,Working Professional,"20,000-50,000",1-2 times/week,Gym,Muscle gain,No access to gym,Non-vegetarian,None,Order food frequently,Cravings,Rarely,Somewhat structured,90+ mins,No,"Calorie tracking via photo, Form correction via video, AI workout plan",Free only,Convenience,Unlikely,Overweight,3,11-20,Busy schedule,Never used any,₹499,Performance/strength,Full control (cook myself)
233,gym_enthusiast,25-34,Tier 1,Working Professional,"20,000-50,000",1-2 times/week,Gym,Weight loss,No proper diet,Non-vegetarian,Lactose intolerance,Mix of both,No time to cook,Rarely,Highly unpredictable,30-60 mins,No,"Calorie tracking via photo, Allergy-specific diets, AI workout plan",₹199-₹499,Convenience,Neutral,Overweight,3,11-20,Lack of motivation,Never used any,₹999,Social pressure,Full control (cook myself)
234,gym_enthusiast,25-34,Metro,Working Professional,"20,000-50,000",Never,I don't work out,Muscle gain,No proper diet,Eggetarian,None,Home-cooked,Don't know what to eat,Rarely,Somewhat structured,60-90 mins,Yes,"Diet planning, AI workout plan",₹199-₹499,"Personalization, Proven results",Likely,Normal,3,11-20,Social events,Too complicated,₹999,Performance/strength,Full control (cook myself)
235,student_hostel,18-24,Tier 1,Student,"<20,000",1-2 times/week,Gym,Muscle gain,Lack of motivation,Non-vegetarian,Lactose intolerance,Order food frequently,No time to cook,Rarely,Highly unpredictable,<30 mins,No,"Calorie tracking via photo, Diet planning, AI workout plan",₹99-₹199,"Proven results, Convenience",Very unlikely,Normal,2,0-5,Travel,Never used any,₹199,Social pressure,Very limited control (hostel/mess)
236,busy_traveler,18-24,Metro,Working Professional,"2,00,000+",1-2 times/week,Outdoors,General fitness,No proper diet,Non-vegetarian,None,Mix of both,Cravings,Frequently,Very structured,<30 mins,No,"Travel-friendly plans, Diet planning, Form correction via video",₹999+,"All-in-one solution, Convenience, Personalization",Likely,Underweight,3,0-5,Social events,Never used any,₹2000+,Looking good (aesthetics),Partial control
237,young_professional,25-34,Metro,Working Professional,"20,000-50,000",3-4 times/week,Outdoors,Muscle gain,Lack of time,Non-vegetarian,Gluten intolerance,Order food frequently,Lack of consistency,Rarely,Somewhat structured,<30 mins,No,"Form correction via video, AI workout plan, Calorie tracking via photo",₹499-₹999,"Convenience, Proven results",Neutral,Overweight,4,11-20,Travel,Never used any,₹999,Social pressure,Partial control
238,student_hostel,Under 18,Tier 1,Student,"50,000-1,00,000",Never,I don't work out,Muscle gain,No proper diet,Vegetarian,Other,Home-cooked,No time to cook,Rarely,Highly unpredictable,60-90 mins,Yes,Diet planning,₹199-₹499,"Proven results, Convenience, All-in-one solution",Neutral,Underweight,4,0-5,Busy schedule,,₹999,Looking good (aesthetics),Partial control
239,busy_traveler,25-34,Tier 3 / Rural,Working Professional,"50,000-1,00,000",5+ times/week,Gym,Weight loss,No access to gym,Non-vegetarian,Lactose intolerance,Order food frequently,Lack of consistency,Frequently,Highly unpredictable,30-60 mins,Yes,"Calorie tracking via photo, Travel-friendly plans",₹499-₹999,Convenience,Neutral,Overweight,2,11-20,Lack of motivation,No results,₹2000+,Mental well-being,Full control (cook myself)
240,student_hostel,18-24,Tier 1,Student,"<20,000",1-2 times/week,Gym,Weight loss,Lack of knowledge,Eggetarian,Other,Hostel/mess food,Don't know what to eat,Rarely,Highly unpredictable,<30 mins,No,"Calorie tracking via photo, Allergy-specific diets",₹99-₹199,"Personalization, Proven results",Very likely,Normal,5,6-10,Don't see results,Never used any,₹199,Looking good (aesthetics),Very limited control (hostel/mess)
241,older_active,45-54,Tier 3 / Rural,Retired,"20,000-50,000",1-2 times/week,Home,Medical/rehabilitation,Lack of motivation,Vegetarian,Lactose intolerance,Home-cooked,No time to cook,Rarely,Somewhat structured,30-60 mins,No,"Allergy-specific diets, Diet planning, AI workout plan",₹499-₹999,"All-in-one solution, Expert guidance",Neutral,Obese,4,11-20,Busy schedule,Never used any,₹999,Health concerns,Full control (cook myself)
242,older_active,55+,Tier 2,Retired,"20,000-50,000",Never,I don't work out,Weight loss,No access to gym,Vegetarian,Lactose intolerance,Hostel/mess food,Lack of consistency,Occasionally,Very structured,30-60 mins,No,"Allergy-specific diets, Diet planning, Calorie tracking via photo",₹499-₹999,Personalization,Very unlikely,Obese,1,6-10,Don't see results,Never used any,₹999,Health concerns,Full control (cook myself)
243,older_active,45-54,Tier 2,Working Professional,"50,000-1,00,000",1-2 times/week,Outdoors,Weight loss,Lack of time,Non-vegetarian,Nut allergies,Home-cooked,Lack of consistency,Frequently,Highly unpredictable,30-60 mins,No,"Calorie tracking via photo, Diet planning, Travel-friendly plans",₹999+,"Expert guidance, Proven results, Personalization",Neutral,Normal,5,6-10,Never started properly,Never used any,₹2000+,Health concerns,Full control (cook myself)
244,young_professional,18-24,Tier 3 / Rural,Working Professional,"50,000-1,00,000",3-4 times/week,Home,Muscle gain,Lack of time,Vegetarian,None,Mix of both,No time to cook,Rarely,Somewhat structured,30-60 mins,Yes,"Form correction via video, AI workout plan, Calorie tracking via photo",₹999+,All-in-one solution,Neutral,Normal,4,11-20,Busy schedule,Too complicated,₹2000+,Performance/strength,Partial control
245,student_hostel,18-24,Tier 1,Business Owner,"<20,000",3-4 times/week,Outdoors,Muscle gain,Lack of time,Vegetarian,None,Hostel/mess food,Cravings,Frequently,Highly unpredictable,30-60 mins,No,"Travel-friendly plans, Form correction via video, Diet planning",₹499-₹999,"Convenience, Personalization, All-in-one solution",Unlikely,Obese,3,0-5,Lack of motivation,Never used any,₹2000+,Looking good (aesthetics),Full control (cook myself)
246,older_active,45-54,Tier 3 / Rural,Working Professional,"1,00,000-2,00,000",5+ times/week,Home,Medical/rehabilitation,Lack of knowledge,Eggetarian,None,Home-cooked,Budget constraints,Rarely,Highly unpredictable,<30 mins,No,"Travel-friendly plans, Diet planning, Allergy-specific diets",₹999+,"All-in-one solution, Personalization",Likely,Normal,5,0-5,Don't see results,Never used any,₹2000+,Health concerns,Full control (cook myself)
247,young_professional,25-34,Tier 3 / Rural,Working Professional,"20,000-50,000",5+ times/week,Gym,Muscle gain,No proper diet,Non-vegetarian,None,Mix of both,No time to cook,Frequently,Very structured,30-60 mins,Yes,"AI workout plan, Form correction via video",₹499-₹999,Proven results,Neutral,Overweight,1,20+,Travel,Too complicated,₹999,Social pressure,Partial control
248,older_active,35-44,Tier 3 / Rural,Homemaker,"20,000-50,000",1-2 times/week,Home,Weight loss,No proper diet,Eggetarian,None,Mix of both,Don't know what to eat,Rarely,Somewhat structured,30-60 mins,No,"Form correction via video, AI workout plan, Diet planning",₹199-₹499,"Expert guidance, Personalization",Unlikely,Overweight,2,0-5,Social events,Never used any,₹2000+,Mental well-being,Full control (cook myself)
249,older_active,55+,Tier 3 / Rural,Homemaker,"20,000-50,000",3-4 times/week,Home,General fitness,No access to gym,Non-vegetarian,None,Home-cooked,Cravings,Occasionally,Very structured,<30 mins,No,"Diet planning, Travel-friendly plans, AI workout plan",₹199-₹499,"Personalization, Proven results, Expert guidance",Neutral,Normal,4,11-20,Don't see results,Never used any,₹999,Mental well-being,Full control (cook myself)
250,family_health_seeker,35-44,Tier 2,Business Owner,"50,000-1,00,000",Never,I don't work out,Weight loss,Lack of motivation,Vegetarian,None,Mix of both,Budget constraints,Rarely,Highly unpredictable,30-60 mins,Yes,"Allergy-specific diets, Form correction via video, Calorie tracking via photo",₹499-₹999,Expert guidance,Likely,Normal,4,6-10,Busy schedule,Not personalized,₹999,Mental well-being,Partial control
251,young_professional,25-34,Metro,Working Professional,"50,000-1,00,000",1-2 times/week,Outdoors,Weight loss,Lack of motivation,Non-vegetarian,None,Order food frequently,Lack of consistency,Occasionally,Somewhat structured,30-60 mins,Yes,"Form correction via video, Allergy-specific diets, Diet planning",₹999+,Convenience,Neutral,Normal,4,0-5,Don't see results,Lost motivation,₹2000+,Mental well-being,Partial control
252,young_professional,25-34,Tier 1,Working Professional,"20,000-50,000",5+ times/week,Gym,Muscle gain,No access to gym,Vegetarian,None,Mix of both,Lack of consistency,Frequently,Highly unpredictable,30-60 mins,Yes,"Form correction via video, Calorie tracking via photo",₹999+,"Personalization, Proven results",Neutral,Underweight,3,0-5,Lack of motivation,Lost motivation,₹2000+,Looking good (aesthetics),Very limited control (hostel/mess)
253,family_health_seeker,45-54,Tier 3 / Rural,Working Professional,"20,000-50,000",3-4 times/week,Home,Weight loss,Lack of motivation,Vegetarian,None,Home-cooked,Cravings,Rarely,Very structured,<30 mins,No,"Calorie tracking via photo, Travel-friendly plans, Allergy-specific diets",₹499-₹999,"Personalization, All-in-one solution, Proven results",Unlikely,Normal,3,0-5,Lack of motivation,Never used any,₹2000+,Health concerns,Full control (cook myself)
254,young_professional,25-34,Tier 2,Working Professional,"20,000-50,000",5+ times/week,Gym,Weight loss,Lack of time,Non-vegetarian,None,Home-cooked,Don't know what to eat,Rarely,Somewhat structured,60-90 mins,No,"Form correction via video, Diet planning, Calorie tracking via photo",₹199-₹499,"Convenience, Proven results",Unlikely,Normal,3,20+,Busy schedule,Never used any,₹999,Mental well-being,Full control (cook myself)
255,student_hostel,18-24,Metro,Student,"<20,000",Never,I don't work out,Not sure,Lack of time,Non-vegetarian,None,Home-cooked,Budget constraints,Rarely,Highly unpredictable,60-90 mins,No,"AI workout plan, Travel-friendly plans",Free only,"Personalization, Proven results",Unlikely,Normal,3,6-10,Never started properly,Never used any,₹199,Performance/strength,Very limited control (hostel/mess)
256,gym_enthusiast,18-24,Tier 2,Working Professional,"50,000-1,00,000",3-4 times/week,Gym,General fitness,Lack of motivation,Vegan,Nut allergies,Home-cooked,No time to cook,Frequently,Somewhat structured,<30 mins,Yes,"Diet planning, Travel-friendly plans, Form correction via video",₹999+,"Convenience, Personalization",Likely,Overweight,4,6-10,Busy schedule,Too expensive,₹2000+,Performance/strength,Partial control
257,older_active,55+,Tier 2,Homemaker,"20,000-50,000",1-2 times/week,Home,General fitness,Lack of motivation,Vegetarian,None,Home-cooked,Cravings,Frequently,Very structured,<30 mins,Yes,Calorie tracking via photo,₹499-₹999,"Personalization, Convenience, Expert guidance",Neutral,,4,11-20,Travel,Lost motivation,₹999,Mental well-being,Full control (cook myself)
258,busy_traveler,25-34,Metro,Working Professional,"2,00,000+",1-2 times/week,Home,General fitness,Lack of motivation,Non-vegetarian,Other,Mix of both,Cravings,Frequently,Somewhat structured,30-60 mins,Yes,"Allergy-specific diets, Travel-friendly plans",₹999+,"Expert guidance, Proven results",Neutral,Overweight,3,6-10,Never started properly,No results,₹2000+,Mental well-being,Partial control
259,gym_enthusiast,18-24,Tier 2,Working Professional,"50,000-1,00,000",1-2 times/week,Gym,Not sure,Lack of time,Non-vegetarian,None,Mix of both,Cravings,Rarely,Very structured,60-90 mins,Yes,"Allergy-specific diets, Form correction via video",₹499-₹999,"Proven results, Expert guidance, Convenience",Unlikely,Overweight,1,6-10,Don't see results,Not personalized,₹999,Social pressure,Full control (cook myself)
260,student_hostel,18-24,Tier 1,Student,"20,000-50,000",3-4 times/week,Outdoors,Muscle gain,Lack of motivation,Eggetarian,None,Hostel/mess food,No time to cook,Rarely,Somewhat structured,90+ mins,Yes,"Form correction via video, AI workout plan",₹999+,"All-in-one solution, Personalization",Unlikely,Overweight,4,0-5,Lack of motivation,Too expensive,₹2000+,Mental well-being,Partial control
261,gym_enthusiast,35-44,Tier 2,Student,"20,000-50,000",1-2 times/week,Gym,General fitness,Lack of time,Eggetarian,None,Mix of both,Cravings,Rarely,Highly unpredictable,30-60 mins,Yes,"Form correction via video, Diet planning, Travel-friendly plans",₹499-₹999,"All-in-one solution, Proven results",Neutral,Overweight,5,11-20,Lack of motivation,Lost motivation,₹2000+,Performance/strength,Full control (cook myself)
262,older_active,35-44,Tier 3 / Rural,Homemaker,"20,000-50,000",3-4 times/week,Home,Medical/rehabilitation,Lack of knowledge,Vegetarian,None,Home-cooked,Cravings,Rarely,Somewhat structured,<30 mins,No,Form correction via video,₹499-₹999,"Expert guidance, Personalization, Proven results",Unlikely,Obese,2,11-20,Never started properly,Never used any,₹2000+,Mental well-being,Partial control
263,student_hostel,18-24,Tier 3 / Rural,Student,"<20,000",Never,I don't work out,General fitness,Lack of motivation,Eggetarian,Other,Hostel/mess food,Don't know what to eat,Occasionally,Somewhat structured,<30 mins,Yes,"AI workout plan, Allergy-specific diets",₹199-₹499,Personalization,Likely,Normal,5,0-5,Travel,Too expensive,₹499,Looking good (aesthetics),Very limited control (hostel/mess)
264,gym_enthusiast,25-34,Tier 3 / Rural,Working Professional,"20,000-50,000",5+ times/week,Gym,Muscle gain,Lack of motivation,Vegan,None,Order food frequently,Lack of consistency,Rarely,Very structured,30-60 mins,Yes,"Travel-friendly plans, Allergy-specific diets, Form correction via video",₹499-₹999,"Convenience, All-in-one solution",Likely,Underweight,5,11-20,Lack of motivation,Too complicated,₹2000+,Looking good (aesthetics),Very limited control (hostel/mess)
265,family_health_seeker,45-54,Tier 2,Working Professional,"20,000-50,000",Never,I don't work out,Weight loss,No proper diet,Vegetarian,None,Home-cooked,Lack of consistency,Rarely,Very structured,<30 mins,Yes,"Calorie tracking via photo, Travel-friendly plans",₹199-₹499,"Personalization, All-in-one solution, Proven results",Unlikely,Overweight,3,20+,Social events,Too complicated,₹499,Mental well-being,Full control (cook myself)
266,busy_traveler,55+,Metro,Working Professional,"1,00,000-2,00,000",Never,I don't work out,General fitness,Lack of time,Vegetarian,None,Home-cooked,Lack of consistency,Occasionally,Somewhat structured,<30 mins,No,Travel-friendly plans,₹499-₹999,"Personalization, Expert guidance",Likely,Overweight,4,6-10,Travel,Never used any,₹2000+,Health concerns,Very limited control (hostel/mess)
267,busy_traveler,25-34,Metro,Working Professional,"50,000-1,00,000",5+ times/week,Outdoors,Weight loss,Lack of time,Vegetarian,None,Home-cooked,Budget constraints,Frequently,Highly unpredictable,<30 mins,Yes,"Form correction via video, Diet planning, Travel-friendly plans",₹999+,"Proven results, Personalization",Very likely,Overweight,5,11-20,Don't see results,No results,₹2000+,Mental well-being,Full control (cook myself)
268,busy_traveler,25-34,Tier 1,Working Professional,"1,00,000-2,00,000",5+ times/week,Outdoors,General fitness,Lack of time,Non-vegetarian,Lactose intolerance,Home-cooked,Cravings,Occasionally,Highly unpredictable,60-90 mins,Yes,"AI workout plan, Travel-friendly plans, Form correction via video",₹499-₹999,All-in-one solution,Unlikely,Overweight,2,6-10,Busy schedule,Not personalized,₹2000+,Health concerns,Very limited control (hostel/mess)
269,young_professional,25-34,Metro,Working Professional,"50,000-1,00,000",3-4 times/week,Home,General fitness,Lack of time,Non-vegetarian,Nut allergies,Home-cooked,No time to cook,Occasionally,Highly unpredictable,30-60 mins,No,Diet planning,₹499-₹999,"Convenience, All-in-one solution, Proven results",Unlikely,Overweight,2,11-20,Lack of motivation,Never used any,₹999,Looking good (aesthetics),Full control (cook myself)
270,young_professional,25-34,Tier 2,Working Professional,"1,00,000-2,00,000",Never,I don't work out,General fitness,No access to gym,Eggetarian,None,Home-cooked,No time to cook,Occasionally,Somewhat structured,90+ mins,Yes,"Form correction via video, AI workout plan, Diet planning",₹999+,"Proven results, Personalization, Convenience",Neutral,Normal,4,11-20,Don't see results,Too expensive,₹2000+,Health concerns,Partial control
271,family_health_seeker,35-44,Tier 1,Working Professional,"1,00,000-2,00,000",3-4 times/week,Gym,Weight loss,No access to gym,Non-vegetarian,None,Mix of both,Lack of consistency,Occasionally,Somewhat structured,30-60 mins,Yes,"Form correction via video, Allergy-specific diets, Diet planning",₹999+,All-in-one solution,Neutral,Obese,4,0-5,Never started properly,Too expensive,₹2000+,Mental well-being,Partial control
272,family_health_seeker,25-34,Tier 1,Working Professional,"1,00,000-2,00,000",1-2 times/week,Gym,General fitness,Lack of time,Vegetarian,None,Mix of both,Cravings,Occasionally,Somewhat structured,<30 mins,No,,₹499-₹999,"All-in-one solution, Convenience, Proven results",Neutral,Overweight,5,0-5,Busy schedule,Never used any,₹2000+,Mental well-being,Partial control
273,family_health_seeker,35-44,Tier 2,Working Professional,"20,000-50,000",1-2 times/week,Home,Weight loss,No proper diet,Non-vegetarian,Other,Home-cooked,Don't know what to eat,Rarely,Very structured,30-60 mins,Yes,"Allergy-specific diets, AI workout plan",₹499-₹999,"Proven results, Convenience, Personalization",Unlikely,Overweight,4,0-5,Busy schedule,Lost motivation,₹999,Mental well-being,Full control (cook myself)
274,older_active,55+,Tier 2,Retired,"20,000-50,000",5+ times/week,Outdoors,General fitness,No access to gym,Eggetarian,None,Home-cooked,No time to cook,Occasionally,Very structured,<30 mins,No,"Diet planning, Form correction via video",₹499-₹999,"Personalization, Convenience, Proven results",Likely,Overweight,5,20+,Lack of motivation,Never used any,₹2000+,Health concerns,Partial control
275,gym_enthusiast,35-44,Tier 1,Working Professional,"20,000-50,000",3-4 times/week,Outdoors,General fitness,Lack of time,Non-vegetarian,None,Mix of both,Lack of consistency,Occasionally,Somewhat structured,90+ mins,Yes,"Form correction via video, Allergy-specific diets",₹499-₹999,"Proven results, Personalization, Expert guidance",Very likely,Normal,4,20+,Don't see results,No results,₹2000+,Performance/strength,Very limited control (hostel/mess)
276,gym_enthusiast,25-34,Tier 1,Student,"20,000-50,000",1-2 times/week,Gym,Muscle gain,No proper diet,Non-vegetarian,None,Home-cooked,Don't know what to eat,Rarely,Highly unpredictable,60-90 mins,Yes,"Form correction via video, Calorie tracking via photo, Diet planning",₹499-₹999,"Personalization, Proven results",Likely,Normal,5,20+,Lack of motivation,Not personalized,₹2000+,Looking good (aesthetics),Very limited control (hostel/mess)
277,family_health_seeker,25-34,Tier 1,Homemaker,"1,00,000-2,00,000",3-4 times/week,Home,Muscle gain,Lack of motivation,Vegan,None,Mix of both,Don't know what to eat,Frequently,Somewhat structured,30-60 mins,No,"AI workout plan, Allergy-specific diets, Calorie tracking via photo",₹999+,"Expert guidance, Proven results, Personalization",Unlikely,Normal,3,0-5,Busy schedule,Never used any,₹2000+,Health concerns,Partial control
278,busy_traveler,25-34,Metro,Working Professional,"20,000-50,000",1-2 times/week,Gym,Muscle gain,Lack of knowledge,Non-vegetarian,None,Order food frequently,Lack of consistency,Frequently,Highly unpredictable,30-60 mins,Yes,"Diet planning, AI workout plan, Form correction via video",₹499-₹999,"Expert guidance, Personalization, Proven results",Neutral,Normal,5,0-5,Never started properly,Lost motivation,₹2000+,Mental well-being,Full control (cook myself)
279,busy_traveler,25-34,Metro,Business Owner,"50,000-1,00,000",1-2 times/week,Gym,General fitness,Lack of time,Non-vegetarian,None,Order food frequently,Lack of consistency,Occasionally,Highly unpredictable,<30 mins,Yes,"Travel-friendly plans, Diet planning, Calorie tracking via photo",₹499-₹999,"Proven results, Personalization, Expert guidance",Neutral,Obese,4,6-10,Busy schedule,Lost motivation,₹2000+,Performance/strength,Very limited control (hostel/mess)
280,family_health_seeker,35-44,Tier 2,Retired,"20,000-50,000",1-2 times/week,Home,Not sure,No proper diet,Eggetarian,None,Hostel/mess food,No time to cook,Rarely,Highly unpredictable,60-90 mins,Yes,"Calorie tracking via photo, Allergy-specific diets, Form correction via video",₹499-₹999,"Expert guidance, Convenience",Unlikely,Normal,1,0-5,Busy schedule,Too expensive,₹999,Mental well-being,Partial control
281,family_health_seeker,35-44,Metro,Working Professional,"50,000-1,00,000",Never,I don't work out,Medical/rehabilitation,Lack of time,Vegan,None,Home-cooked,Budget constraints,Occasionally,Somewhat structured,30-60 mins,No,"Diet planning, AI workout plan, Calorie tracking via photo",₹499-₹999,"All-in-one solution, Personalization",Neutral,Overweight,5,0-5,Travel,Never used any,₹2000+,Health concerns,Partial control
282,young_professional,25-34,Metro,Working Professional,"1,00,000-2,00,000",1-2 times/week,Gym,Not sure,Lack of time,Non-vegetarian,None,Mix of both,Don't know what to eat,Rarely,Somewhat structured,<30 mins,Yes,"Calorie tracking via photo, AI workout plan",₹199-₹499,"Personalization, Convenience, All-in-one solution",Unlikely,Normal,1,20+,Travel,Too expensive,₹999,Looking good (aesthetics),Partial control
283,young_professional,25-34,Tier 1,Working Professional,"20,000-50,000",3-4 times/week,Gym,General fitness,Lack of time,Eggetarian,None,Home-cooked,Lack of consistency,Frequently,Somewhat structured,<30 mins,Yes,"AI workout plan, Calorie tracking via photo, Travel-friendly plans",₹499-₹999,"Proven results, All-in-one solution",Very likely,Normal,5,11-20,Busy schedule,Not personalized,₹999,Mental well-being,Full control (cook myself)
284,student_hostel,18-24,Tier 1,Working Professional,"<20,000",3-4 times/week,Home,Muscle gain,Lack of motivation,Vegetarian,None,Mix of both,Cravings,Rarely,Highly unpredictable,60-90 mins,No,"Calorie tracking via photo, Diet planning",₹199-₹499,"Proven results, All-in-one solution",Neutral,Overweight,5,6-10,Lack of motivation,Never used any,₹499,Looking good (aesthetics),Very limited control (hostel/mess)
285,gym_enthusiast,18-24,Tier 1,Working Professional,"20,000-50,000",5+ times/week,Gym,Muscle gain,Lack of motivation,Non-vegetarian,None,Order food frequently,Lack of consistency,Rarely,Somewhat structured,90+ mins,Yes,"Calorie tracking via photo, Form correction via video",₹999+,"Proven results, Expert guidance, All-in-one solution",Likely,Obese,4,6-10,Never started properly,No results,₹2000+,Looking good (aesthetics),Full control (cook myself)
286,student_hostel,18-24,Metro,Student,"20,000-50,000",5+ times/week,Outdoors,General fitness,No proper diet,Eggetarian,None,Hostel/mess food,Don't know what to eat,Rarely,Highly unpredictable,30-60 mins,Yes,"Calorie tracking via photo, Diet planning",₹499-₹999,"Proven results, Personalization",Likely,Normal,5,11-20,Lack of motivation,Not personalized,₹2000+,Health concerns,Full control (cook myself)
287,young_professional,25-34,Tier 1,Working Professional,"<20,000",3-4 times/week,Outdoors,Muscle gain,Lack of motivation,Eggetarian,None,Mix of both,Don't know what to eat,Rarely,Somewhat structured,30-60 mins,No,"Form correction via video, Allergy-specific diets",₹199-₹499,"Proven results, All-in-one solution, Convenience",Neutral,Normal,3,6-10,Busy schedule,Never used any,₹999,Health concerns,Partial control
288,gym_enthusiast,45-54,Metro,Working Professional,"20,000-50,000",5+ times/week,Gym,Muscle gain,Lack of motivation,Non-vegetarian,None,Mix of both,Cravings,Rarely,Highly unpredictable,60-90 mins,Yes,"Form correction via video, AI workout plan",₹499-₹999,"Proven results, Expert guidance, All-in-one solution",Neutral,Overweight,3,11-20,Don't see results,Not personalized,₹2000+,Health concerns,Full control (cook myself)
289,young_professional,25-34,Tier 1,Working Professional,"20,000-50,000",5+ times/week,Gym,General fitness,Lack of knowledge,Non-vegetarian,None,Order food frequently,No time to cook,Rarely,Very structured,30-60 mins,Yes,"Form correction via video, Diet planning, AI workout plan",₹499-₹999,"Personalization, Proven results",Neutral,,2,6-10,Don't see results,Too expensive,₹2000+,Looking good (aesthetics),Partial control
290,gym_enthusiast,25-34,Tier 1,Working Professional,"20,000-50,000",3-4 times/week,Gym,Muscle gain,No access to gym,Non-vegetarian,None,Home-cooked,No time to cook,Occasionally,Somewhat structured,90+ mins,Yes,"AI workout plan, Form correction via video",₹199-₹499,"Proven results, Personalization",Neutral,Overweight,4,20+,Don't see results,No results,₹499,Performance/strength,Partial control
291,student_hostel,25-34,Tier 1,Student,"<20,000",5+ times/week,Gym,Weight loss,Lack of time,Vegetarian,None,Home-cooked,Don't know what to eat,Occasionally,Highly unpredictable,<30 mins,Yes,"Calorie tracking via photo, Diet planning",₹199-₹499,"All-in-one solution, Proven results",Likely,Underweight,5,11-20,Never started properly,Too expensive,₹999,Health concerns,Partial control
292,student_hostel,25-34,Tier 2,Student,"<20,000",5+ times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,Gluten intolerance,Order food frequently,Don't know what to eat,Occasionally,Highly unpredictable,30-60 mins,Yes,Diet planning,₹199-₹499,"Convenience, Proven results",Neutral,Overweight,2,20+,Lack of motivation,Lost motivation,₹999,Looking good (aesthetics),Partial control
293,family_health_seeker,35-44,Tier 1,Working Professional,"50,000-1,00,000",1-2 times/week,Gym,Medical/rehabilitation,No proper diet,Vegetarian,None,Home-cooked,Cravings,Rarely,Very structured,<30 mins,Yes,"Calorie tracking via photo, Allergy-specific diets, Diet planning",₹999+,"All-in-one solution, Proven results, Personalization",Neutral,Overweight,4,0-5,Busy schedule,Not personalized,₹2000+,Health concerns,Full control (cook myself)
294,young_professional,18-24,Metro,Working Professional,"50,000-1,00,000",3-4 times/week,Home,General fitness,Lack of motivation,Non-vegetarian,None,Order food frequently,Don't know what to eat,Occasionally,Somewhat structured,30-60 mins,Yes,"Calorie tracking via photo, Form correction via video, AI workout plan",₹199-₹499,,Very likely,Normal,5,6-10,Busy schedule,Too complicated,₹999,Mental well-being,Partial control
295,student_hostel,18-24,Tier 1,Homemaker,"<20,000",3-4 times/week,Gym,Weight loss,No proper diet,Vegetarian,None,Mix of both,Don't know what to eat,Rarely,Somewhat structured,30-60 mins,No,"AI workout plan, Diet planning, Allergy-specific diets",₹199-₹499,"All-in-one solution, Personalization",Neutral,Underweight,4,20+,Busy schedule,,₹499,Health concerns,Very limited control (hostel/mess)
