Respondent_ID,Persona_Segment,Q1_Age_Group,Q2_City_Type,Q3_Occupation,Q4_Monthly_Income_INR,Q5_Exercise_Frequency,Q6_Workout_Location,Q7_Primary_Fitness_Goal,Q8_Biggest_Fitness_Challenge,Q9_Diet_Type,Q10_Dietary_Restrictions_Allergies,Q11_Meal_Management,Q12_Biggest_Diet_Challenge,Q13_Travel_Frequency,Q14_Daily_Routine,Q15_Time_Available_for_Fitness,Q16_Current_Fitness_App_User,Q17_Preferred_App_Features,Q18_Willingness_to_Pay_Monthly,Q19_What_Would_Make_You_Pay,Q20_Likelihood_to_Use_App,Q21_Current_Weight_Category,Q22_Problem_Impact_Score_1_to_5,Q23_Days_Followed_Plan_in_Last_30_Days,Q24_When_You_Stop_Following_Routine,Q25_Why_Stopped_Using_Fitness_Apps,Q26_If_Guaranteed_Results_3_Months_How_Much_Pay,Q27_Primary_Motivation_to_Stay_Fit,Q28_Level_of_Control_Over_Daily_Meals,Q4_Monthly_Income_INR_Code,Q5_Exercise_Frequency_Code,Q13_Travel_Frequency_Code,Q14_Daily_Routine_Code,Q15_Time_Available_for_Fitness_Code,Q18_Willingness_to_Pay_Monthly_Code,Q20_Likelihood_to_Use_App_Code,Q23_Days_Followed_Plan_in_Last_30_Days_Code,Q26_If_Guaranteed_Results_3_Months_How_Much_Pay_Code,Feat_AI_workout_plan,Feat_Form_correction_via_video,Feat_Diet_planning,Feat_Calorie_tracking_via_photo,Feat_Travel_friendly_plans,Feat_Allergy_specific_diets,PayReason_Proven_results,PayReason_Personalization,PayReason_Expert_guidance,PayReason_Convenience,PayReason_All_in_one_solution
119,family_health_seeker,45-54,Metro,Homemaker,"50,000-1,00,000",1-2 times/week,Home,Weight loss,Lack of time,Vegan,None,Home-cooked,No time to cook,Rarely,Somewhat structured,30-60 mins,No,"Calorie tracking via photo, Allergy-specific diets, Diet planning",₹499-₹999,Proven results,Neutral,Normal,4,0-5,Busy schedule,Never used any,₹2000+,Health concerns,Full control (cook myself),2,1,0.0,1,1,3,2,0,4,0,0,1,1,0,1,1,0,0,0,0
120,gym_enthusiast,25-34,Tier 1,Business Owner,"50,000-1,00,000",1-2 times/week,Gym,Muscle gain,Lack of motivation,Non-vegetarian,None,Home-cooked,No time to cook,Rarely,Highly unpredictable,60-90 mins,Yes,"Form correction via video, AI workout plan, Diet planning",₹999+,"Expert guidance, Personalization",Neutral,Obese,5,6-10,Busy schedule,Lost motivation,₹2000+,Performance/strength,Very limited control (hostel/mess),2,1,0.0,2,2,4,2,1,4,1,1,1,0,0,0,0,1,1,0,0
121,family_health_seeker,45-54,Tier 2,Retired,"20,000-50,000",1-2 times/week,Home,Muscle gain,No proper diet,Non-vegetarian,Nut allergies,Home-cooked,Cravings,Rarely,Highly unpredictable,<30 mins,Yes,"Diet planning, Allergy-specific diets",₹499-₹999,"Personalization, All-in-one solution, Proven results",Unlikely,Overweight,5,0-5,Travel,Too expensive,₹999,Health concerns,Full control (cook myself),1,1,0.0,2,0,3,1,0,3,0,0,1,0,0,1,1,1,0,0,1
122,family_health_seeker,45-54,Tier 2,Homemaker,"50,000-1,00,000",1-2 times/week,Gym,Weight loss,Lack of knowledge,Vegetarian,None,Mix of both,No time to cook,Rarely,Somewhat structured,90+ mins,No,"Calorie tracking via photo, Diet planning",₹499-₹999,Personalization,Neutral,Normal,4,11-20,Never started properly,Never used any,₹2000+,Health concerns,Full control (cook myself),2,1,0.0,1,3,3,2,2,4,0,0,1,1,0,0,0,1,0,0,0
123,young_professional,18-24,Tier 1,Working Professional,"1,00,000-2,00,000",3-4 times/week,Home,General fitness,Lack of motivation,Vegan,None,Mix of both,Budget constraints,Rarely,Somewhat structured,<30 mins,No,"Form correction via video, Diet planning",₹999+,"Proven results, Personalization, All-in-one solution",Likely,Normal,4,0-5,Busy schedule,Never used any,₹2000+,Performance/strength,Very limited control (hostel/mess),3,2,0.0,1,0,4,3,0,4,0,1,1,0,0,0,1,1,0,0,1
124,student_hostel,18-24,Tier 1,Student,"<20,000",1-2 times/week,Outdoors,Muscle gain,No access to gym,Vegetarian,None,Hostel/mess food,Budget constraints,Occasionally,Somewhat structured,30-60 mins,No,"AI workout plan, Form correction via video, Calorie tracking via photo",₹199-₹499,"Proven results, Personalization",Unlikely,Overweight,3,20+,Lack of motivation,Never used any,₹499,Mental well-being,Very limited control (hostel/mess),0,1,1.0,1,1,2,1,3,2,1,1,0,1,0,0,1,1,0,0,0
125,young_professional,25-34,Metro,Working Professional,"2,00,000+",3-4 times/week,Home,Weight loss,No proper diet,Non-vegetarian,None,Order food frequently,No time to cook,Rarely,Very structured,<30 mins,Yes,"Calorie tracking via photo, AI workout plan",₹499-₹999,"Personalization, Convenience, Expert guidance",Likely,Underweight,3,20+,Social events,No results,₹2000+,Health concerns,Partial control,4,2,0.0,0,0,3,3,3,4,1,0,0,1,0,0,0,1,1,1,0
126,young_professional,35-44,Tier 1,Working Professional,"1,00,000-2,00,000",5+ times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Home-cooked,Don't know what to eat,Rarely,Somewhat structured,30-60 mins,Yes,"AI workout plan, Form correction via video, Diet planning",₹999+,"All-in-one solution, Convenience, Proven results",Likely,Normal,5,0-5,Lack of motivation,Too expensive,₹2000+,Health concerns,Partial control,3,3,0.0,1,1,4,3,0,4,1,1,1,0,0,0,1,0,0,1,1
127,family_health_seeker,45-54,Tier 2,Business Owner,"20,000-50,000",1-2 times/week,Home,General fitness,No proper diet,Eggetarian,Other,Home-cooked,No time to cook,Rarely,Somewhat structured,30-60 mins,No,"Diet planning, Allergy-specific diets",₹199-₹499,"Expert guidance, Proven results",Neutral,Overweight,5,20+,Busy schedule,Never used any,₹499,Health concerns,Full control (cook myself),1,1,0.0,1,1,2,2,3,2,0,0,1,0,0,1,1,0,1,0,0
128,family_health_seeker,35-44,Tier 1,Business Owner,"50,000-1,00,000",1-2 times/week,Gym,Weight loss,No proper diet,Non-vegetarian,None,Mix of both,Budget constraints,Occasionally,Very structured,<30 mins,No,"Calorie tracking via photo, Diet planning, Allergy-specific diets",₹999+,Proven results,Likely,Overweight,5,0-5,Lack of motivation,Never used any,₹2000+,Mental well-being,Full control (cook myself),2,1,1.0,0,0,4,3,0,4,0,0,1,1,0,1,1,0,0,0,0
129,student_hostel,18-24,Tier 1,Student,"<20,000",3-4 times/week,Gym,General fitness,No proper diet,Non-vegetarian,None,,Don't know what to eat,Occasionally,Somewhat structured,30-60 mins,No,"Travel-friendly plans, AI workout plan, Form correction via video",₹99-₹199,"All-in-one solution, Personalization, Proven results",Neutral,Normal,3,6-10,Never started properly,Never used any,₹499,Mental well-being,Very limited control (hostel/mess),0,2,1.0,1,1,1,2,1,2,1,1,0,0,1,0,1,1,0,0,1
130,gym_enthusiast,25-34,Metro,Working Professional,"20,000-50,000",5+ times/week,Home,Muscle gain,Lack of time,Eggetarian,None,Home-cooked,Lack of consistency,Frequently,Very structured,30-60 mins,No,"AI workout plan, Allergy-specific diets, Form correction via video",₹499-₹999,"Expert guidance, Proven results",Unlikely,Normal,2,11-20,Don't see results,Never used any,₹2000+,Health concerns,Very limited control (hostel/mess),1,3,2.0,0,1,3,1,2,4,1,1,0,0,0,1,1,0,1,0,0
131,young_professional,25-34,Metro,Working Professional,"20,000-50,000",3-4 times/week,Outdoors,Not sure,Lack of time,Eggetarian,None,Home-cooked,Cravings,Occasionally,Very structured,30-60 mins,Yes,"Calorie tracking via photo, Travel-friendly plans",₹99-₹199,"All-in-one solution, Expert guidance, Proven results",Neutral,Overweight,3,20+,Busy schedule,Not personalized,₹499,Performance/strength,Partial control,1,2,1.0,0,1,1,2,3,2,0,0,0,1,1,0,1,0,1,0,1
132,young_professional,25-34,Metro,Working Professional,"20,000-50,000",3-4 times/week,Gym,General fitness,No proper diet,Non-vegetarian,None,Order food frequently,Lack of consistency,Rarely,Very structured,30-60 mins,Yes,"Travel-friendly plans, AI workout plan, Calorie tracking via photo",₹199-₹499,"Proven results, Convenience",Likely,Normal,3,20+,Don't see results,Lost motivation,₹999,Performance/strength,Partial control,1,2,0.0,0,1,2,3,3,3,1,0,0,1,1,0,1,0,0,1,0
133,student_hostel,25-34,Metro,Student,"<20,000",1-2 times/week,Outdoors,Not sure,Lack of time,Vegetarian,None,Hostel/mess food,No time to cook,Rarely,Somewhat structured,30-60 mins,Yes,"Travel-friendly plans, Calorie tracking via photo",Free only,All-in-one solution,Likely,Normal,5,20+,Don't see results,Too complicated,₹199,Looking good (aesthetics),Very limited control (hostel/mess),0,1,0.0,1,1,0,3,3,1,0,0,0,1,1,0,0,0,0,0,1
134,young_professional,18-24,Tier 1,Working Professional,"50,000-1,00,000",3-4 times/week,Gym,Weight loss,No proper diet,Non-vegetarian,None,Home-cooked,Don't know what to eat,Occasionally,Highly unpredictable,60-90 mins,Yes,"Calorie tracking via photo, AI workout plan",₹499-₹999,"Personalization, Proven results",Neutral,Normal,2,6-10,Travel,Too expensive,₹999,Mental well-being,Partial control,2,2,1.0,2,2,3,2,1,3,1,0,0,1,0,0,1,1,0,0,0
135,older_active,55+,Tier 3 / Rural,Retired,"20,000-50,000",5+ times/week,Home,Muscle gain,Lack of knowledge,Vegetarian,None,Mix of both,Lack of consistency,Rarely,Highly unpredictable,<30 mins,No,"AI workout plan, Diet planning",₹199-₹499,All-in-one solution,Likely,Overweight,4,0-5,Lack of motivation,Never used any,₹499,Social pressure,Full control (cook myself),1,3,0.0,2,0,2,3,0,2,1,0,1,0,0,0,0,0,0,0,1
136,young_professional,25-34,Metro,Working Professional,"50,000-1,00,000",1-2 times/week,Gym,Medical/rehabilitation,Lack of time,Non-vegetarian,None,Order food frequently,No time to cook,Occasionally,Somewhat structured,30-60 mins,No,"AI workout plan, Calorie tracking via photo",₹999+,"Convenience, Expert guidance",Neutral,Overweight,5,11-20,Travel,Never used any,₹2000+,Mental well-being,Partial control,2,1,1.0,1,1,4,2,2,4,1,0,0,1,0,0,0,0,1,1,0
137,gym_enthusiast,25-34,Tier 2,Working Professional,"1,00,000-2,00,000",1-2 times/week,Gym,Muscle gain,No access to gym,Eggetarian,None,Home-cooked,Budget constraints,Rarely,Very structured,<30 mins,No,"Form correction via video, AI workout plan, Diet planning",₹499-₹999,"Convenience, Proven results, Personalization",Unlikely,Normal,3,0-5,Never started properly,Never used any,₹2000+,Performance/strength,Partial control,3,1,0.0,0,0,3,1,0,4,1,1,1,0,0,0,1,1,0,1,0
138,busy_traveler,35-44,Metro,Working Professional,"50,000-1,00,000",3-4 times/week,Home,General fitness,No access to gym,Non-vegetarian,None,Mix of both,No time to cook,Frequently,Somewhat structured,<30 mins,No,"Calorie tracking via photo, Travel-friendly plans",₹499-₹999,"Personalization, Convenience, Proven results",Unlikely,Normal,4,6-10,Travel,Never used any,₹2000+,Mental well-being,Partial control,2,2,2.0,1,0,3,1,1,4,0,0,0,1,1,0,1,1,0,1,0
139,young_professional,25-34,Tier 2,Working Professional,"1,00,000-2,00,000",3-4 times/week,Gym,Weight loss,No proper diet,Vegetarian,Gluten intolerance,Mix of both,Cravings,Occasionally,Somewhat structured,30-60 mins,Yes,"AI workout plan, Diet planning, Travel-friendly plans",₹499-₹999,"Convenience, Personalization, All-in-one solution",Neutral,Overweight,1,6-10,Busy schedule,Not personalized,₹999,Health concerns,Partial control,3,2,1.0,1,1,3,2,1,3,1,0,1,0,1,0,0,1,0,1,1
140,older_active,55+,Tier 2,Working Professional,"20,000-50,000",1-2 times/week,Outdoors,Weight loss,Lack of knowledge,Vegan,None,Home-cooked,Cravings,Rarely,Very structured,<30 mins,Yes,"Allergy-specific diets, AI workout plan, Calorie tracking via photo",₹499-₹999,"All-in-one solution, Proven results",Neutral,Normal,5,6-10,Don't see results,Too expensive,₹2000+,Health concerns,Full control (cook myself),1,1,0.0,0,0,3,2,1,4,1,0,0,1,0,1,1,0,0,0,1
141,older_active,45-54,Tier 1,Retired,"20,000-50,000",1-2 times/week,Home,Weight loss,Lack of motivation,Eggetarian,Other,Home-cooked,Lack of consistency,Rarely,Highly unpredictable,<30 mins,No,"Allergy-specific diets, AI workout plan, Calorie tracking via photo",₹99-₹199,"Convenience, Personalization",Neutral,Normal,5,11-20,Don't see results,Never used any,₹499,Health concerns,Full control (cook myself),1,1,0.0,2,0,1,2,2,2,1,0,0,1,0,1,0,1,0,1,0
142,young_professional,25-34,Metro,Working Professional,"20,000-50,000",1-2 times/week,Gym,Muscle gain,No proper diet,Non-vegetarian,None,Home-cooked,Budget constraints,Frequently,Highly unpredictable,90+ mins,Yes,"Form correction via video, Diet planning",₹499-₹999,"Expert guidance, Proven results",Neutral,Normal,3,11-20,Lack of motivation,Not personalized,₹2000+,Mental well-being,Partial control,1,1,2.0,2,3,3,2,2,4,0,1,1,0,0,0,1,0,1,0,0
143,gym_enthusiast,45-54,Metro,Student,"50,000-1,00,000",3-4 times/week,Home,Muscle gain,Lack of knowledge,Non-vegetarian,None,Mix of both,Budget constraints,Rarely,Very structured,60-90 mins,Yes,"Calorie tracking via photo, Travel-friendly plans",₹499-₹999,"Proven results, All-in-one solution, Personalization",Likely,Overweight,4,20+,Never started properly,Too expensive,₹2000+,Mental well-being,Full control (cook myself),2,2,0.0,0,2,3,3,3,4,0,0,0,1,1,0,1,1,0,0,1
144,young_professional,35-44,Tier 1,Working Professional,"50,000-1,00,000",5+ times/week,Gym,General fitness,Lack of time,Vegetarian,None,Mix of both,No time to cook,Occasionally,Highly unpredictable,60-90 mins,Yes,"AI workout plan, Diet planning",₹499-₹999,All-in-one solution,Neutral,Obese,3,11-20,Busy schedule,Too complicated,₹2000+,Social pressure,Partial control,2,3,1.0,2,2,3,2,2,4,1,0,1,0,0,0,0,0,0,0,1
145,young_professional,25-34,Metro,Working Professional,"1,00,000-2,00,000",1-2 times/week,Gym,General fitness,Lack of motivation,Non-vegetarian,None,Home-cooked,Lack of consistency,Rarely,Somewhat structured,30-60 mins,Yes,"AI workout plan, Form correction via video, Calorie tracking via photo",₹999+,Personalization,Neutral,Obese,5,11-20,Busy schedule,Too complicated,₹2000+,Performance/strength,Full control (cook myself),3,1,0.0,1,1,4,2,2,4,1,1,0,1,0,0,0,1,0,0,0
146,student_hostel,18-24,Tier 1,Student,"<20,000",5+ times/week,Gym,General fitness,Lack of motivation,Eggetarian,None,Hostel/mess food,Budget constraints,Occasionally,Very structured,<30 mins,Yes,"Form correction via video, AI workout plan",₹199-₹499,"Convenience, Expert guidance",Likely,Overweight,2,6-10,Travel,Too expensive,₹999,Mental well-being,Very limited control (hostel/mess),0,3,1.0,0,0,2,3,1,3,1,1,0,0,0,0,0,0,1,1,0
147,gym_enthusiast,25-34,Tier 1,Working Professional,"50,000-1,00,000",5+ times/week,Gym,Weight loss,Lack of motivation,Non-vegetarian,None,Mix of both,Cravings,Frequently,Very structured,90+ mins,No,"AI workout plan, Travel-friendly plans, Calorie tracking via photo",₹199-₹499,"Proven results, Expert guidance, Personalization",Likely,Normal,4,20+,Lack of motivation,Never used any,₹999,Looking good (aesthetics),Partial control,2,3,2.0,0,3,2,3,3,3,1,0,0,1,1,0,1,1,1,0,0
148,gym_enthusiast,25-34,Tier 2,Working Professional,"20,000-50,000",5+ times/week,Gym,Muscle gain,No proper diet,Vegetarian,None,Mix of both,Don't know what to eat,Rarely,Very structured,90+ mins,No,"Diet planning, Travel-friendly plans",₹499-₹999,"Expert guidance, Personalization",Very unlikely,Normal,1,20+,Lack of motivation,Never used any,₹999,Health concerns,Full control (cook myself),1,3,0.0,0,3,3,0,3,3,0,0,1,0,1,0,0,1,1,0,0
149,student_hostel,18-24,Metro,Student,"20,000-50,000",1-2 times/week,Home,Muscle gain,Lack of motivation,Non-vegetarian,None,Home-cooked,Don't know what to eat,Rarely,Highly unpredictable,<30 mins,Yes,Diet planning,₹99-₹199,Proven results,Unlikely,Normal,2,0-5,Never started properly,Not personalized,₹499,Looking good (aesthetics),Partial control,1,1,0.0,2,0,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0
150,young_professional,25-34,Tier 1,Working Professional,"50,000-1,00,000",5+ times/week,Outdoors,General fitness,Lack of time,Vegetarian,None,Order food frequently,Don't know what to eat,Frequently,Somewhat structured,30-60 mins,Yes,"Form correction via video, Diet planning, Calorie tracking via photo",₹999+,All-in-one solution,Likely,Overweight,4,11-20,Busy schedule,Too expensive,₹2000+,Looking good (aesthetics),Very limited control (hostel/mess),2,3,2.0,1,1,4,3,2,4,0,1,1,1,0,0,0,0,0,0,1
151,older_active,45-54,Tier 2,Homemaker,"2,00,000+",1-2 times/week,Outdoors,Weight loss,Lack of knowledge,Vegetarian,None,Mix of both,No time to cook,Rarely,Highly unpredictable,<30 mins,No,"Calorie tracking via photo, Allergy-specific diets",₹999+,"All-in-one solution, Proven results, Expert guidance",Neutral,Overweight,5,0-5,Busy schedule,Never used any,₹2000+,Health concerns,Partial control,4,1,0.0,2,0,4,2,0,4,0,0,0,1,0,1,1,0,1,0,1
152,young_professional,25-34,Tier 2,Working Professional,"50,000-1,00,000",3-4 times/week,Gym,General fitness,Lack of time,Vegetarian,None,Home-cooked,Budget constraints,Frequently,Highly unpredictable,30-60 mins,Yes,Travel-friendly plans,₹499-₹999,"All-in-one solution, Convenience",Neutral,Normal,3,0-5,Busy schedule,No results,₹999,Mental well-being,Full control (cook myself),2,2,2.0,2,1,3,2,0,3,0,0,0,0,1,0,0,0,0,1,1
153,student_hostel,18-24,Metro,Student,"<20,000",5+ times/week,Home,General fitness,Lack of time,Non-vegetarian,None,Hostel/mess food,Cravings,Rarely,Highly unpredictable,<30 mins,Yes,"Calorie tracking via photo, Diet planning, AI workout plan",₹99-₹199,Expert guidance,Neutral,Normal,2,11-20,Busy schedule,Too complicated,₹999,Performance/strength,Very limited control (hostel/mess),0,3,0.0,2,0,1,2,2,3,1,0,1,1,0,0,0,0,1,0,0
154,gym_enthusiast,25-34,Tier 3 / Rural,Student,"2,00,000+",3-4 times/week,Gym,Not sure,Lack of knowledge,Non-vegetarian,None,Mix of both,Cravings,Rarely,Somewhat structured,30-60 mins,Yes,"Form correction via video, Calorie tracking via photo",₹999+,"Personalization, All-in-one solution, Expert guidance",Unlikely,Normal,2,11-20,Busy schedule,,₹2000+,Health concerns,Full control (cook myself),4,2,0.0,1,1,4,1,2,4,0,1,0,1,0,0,0,1,1,0,1
155,older_active,45-54,Tier 3 / Rural,Retired,"20,000-50,000",1-2 times/week,Home,Not sure,Lack of motivation,Vegetarian,None,Home-cooked,No time to cook,Rarely,Somewhat structured,<30 mins,No,Form correction via video,₹199-₹499,Convenience,Unlikely,,2,11-20,Lack of motivation,Never used any,₹999,Health concerns,Full control (cook myself),1,1,0.0,1,0,2,1,2,3,0,1,0,0,0,0,0,0,0,1,0
156,young_professional,25-34,Tier 2,Working Professional,"20,000-50,000",1-2 times/week,Home,General fitness,No proper diet,Non-vegetarian,None,Mix of both,Cravings,Occasionally,Somewhat structured,30-60 mins,No,"AI workout plan, Calorie tracking via photo",₹199-₹499,"Personalization, All-in-one solution, Proven results",Very unlikely,Obese,2,0-5,Don't see results,Never used any,₹999,Performance/strength,Partial control,1,1,1.0,1,1,2,0,0,3,1,0,0,1,0,0,1,1,0,0,1
157,busy_traveler,25-34,Tier 1,Working Professional,"50,000-1,00,000",5+ times/week,Home,General fitness,Lack of time,Vegetarian,None,Mix of both,Lack of consistency,Frequently,Highly unpredictable,<30 mins,Yes,"Calorie tracking via photo, Travel-friendly plans, AI workout plan",₹99-₹199,"All-in-one solution, Proven results, Expert guidance",Likely,Normal,4,0-5,Never started properly,Not personalized,₹2000+,Mental well-being,Partial control,2,3,2.0,2,0,1,3,0,4,1,0,0,1,1,0,1,0,1,0,1
158,family_health_seeker,35-44,Tier 2,Homemaker,"50,000-1,00,000",Never,I don't work out,General fitness,Lack of time,Eggetarian,Other,Home-cooked,Budget constraints,,Very structured,60-90 mins,Yes,"Travel-friendly plans, AI workout plan, Allergy-specific diets",₹499-₹999,"Convenience, All-in-one solution, Personalization",Likely,Overweight,5,20+,Social events,No results,₹2000+,Mental well-being,Very limited control (hostel/mess),2,0,,0,2,3,3,3,4,1,0,0,0,1,1,0,1,0,1,1
159,young_professional,35-44,Metro,Working Professional,"20,000-50,000",3-4 times/week,Home,General fitness,Lack of time,Eggetarian,None,Home-cooked,Lack of consistency,Rarely,Somewhat structured,30-60 mins,No,"AI workout plan, Calorie tracking via photo, Diet planning",₹499-₹999,"Proven results, All-in-one solution",Likely,Overweight,4,6-10,Busy schedule,Never used any,₹2000+,Mental well-being,Partial control,1,2,0.0,1,1,3,3,1,4,1,0,1,1,0,0,1,0,0,0,1
160,busy_traveler,35-44,Metro,Working Professional,"50,000-1,00,000",1-2 times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Home-cooked,Lack of consistency,Frequently,Highly unpredictable,30-60 mins,No,Travel-friendly plans,₹499-₹999,Expert guidance,Neutral,Obese,5,0-5,Travel,Never used any,₹999,Health concerns,Partial control,2,1,2.0,2,1,3,2,0,3,0,0,0,0,1,0,0,0,1,0,0
161,young_professional,25-34,Metro,Working Professional,"20,000-50,000",3-4 times/week,Home,Weight loss,No proper diet,Vegetarian,Gluten intolerance,Home-cooked,Lack of consistency,Rarely,Highly unpredictable,30-60 mins,Yes,"Form correction via video, AI workout plan, Calorie tracking via photo",₹499-₹999,"Personalization, Convenience, All-in-one solution",Likely,Overweight,3,11-20,Don't see results,Not personalized,₹999,Health concerns,Full control (cook myself),1,2,0.0,2,1,3,3,2,3,1,1,0,1,0,0,0,1,0,1,1
162,gym_enthusiast,18-24,Tier 1,Working Professional,"50,000-1,00,000",5+ times/week,Gym,General fitness,Lack of motivation,Non-vegetarian,None,Home-cooked,No time to cook,Occasionally,Somewhat structured,60-90 mins,No,"AI workout plan, Form correction via video",₹499-₹999,"Convenience, Proven results",Unlikely,Normal,3,11-20,Travel,Never used any,₹2000+,Performance/strength,Partial control,2,3,1.0,1,2,3,1,2,4,1,1,0,0,0,0,1,0,0,1,0
163,gym_enthusiast,25-34,Tier 2,Working Professional,"50,000-1,00,000",5+ times/week,Gym,Muscle gain,No access to gym,Vegetarian,None,Home-cooked,Lack of consistency,Rarely,Somewhat structured,30-60 mins,Yes,"Calorie tracking via photo, AI workout plan, Form correction via video",₹499-₹999,"Proven results, All-in-one solution, Convenience",Likely,Overweight,3,20+,Busy schedule,Not personalized,₹2000+,Looking good (aesthetics),Full control (cook myself),2,3,0.0,1,1,3,3,3,4,1,1,0,1,0,0,1,0,0,1,1
164,gym_enthusiast,55+,Metro,Working Professional,"50,000-1,00,000",3-4 times/week,Outdoors,General fitness,Lack of time,Vegetarian,None,Mix of both,Cravings,,Very structured,30-60 mins,Yes,"Form correction via video, AI workout plan, Calorie tracking via photo",₹999+,,Likely,Underweight,5,11-20,Social events,Too complicated,₹2000+,Looking good (aesthetics),Partial control,2,2,,0,1,4,3,2,4,1,1,0,1,0,0,0,0,0,0,0
165,student_hostel,18-24,Tier 1,Student,"20,000-50,000",3-4 times/week,Gym,Muscle gain,No access to gym,Vegetarian,None,Home-cooked,Lack of consistency,Rarely,Highly unpredictable,<30 mins,No,"Calorie tracking via photo, Form correction via video",₹499-₹999,"Personalization, Expert guidance",Neutral,Overweight,3,6-10,Social events,Never used any,₹2000+,Looking good (aesthetics),Very limited control (hostel/mess),1,2,0.0,2,0,3,2,1,4,0,1,0,1,0,0,0,1,1,0,0
166,family_health_seeker,45-54,Tier 3 / Rural,Homemaker,"1,00,000-2,00,000",1-2 times/week,Home,General fitness,Lack of time,Non-vegetarian,Other,Mix of both,No time to cook,Occasionally,Highly unpredictable,<30 mins,No,"Diet planning, Form correction via video, Allergy-specific diets",₹999+,"Convenience, Proven results",Unlikely,Overweight,3,0-5,Lack of motivation,Never used any,₹2000+,Mental well-being,Partial control,3,1,1.0,2,0,4,1,0,4,0,1,1,0,0,1,1,0,0,1,0
167,young_professional,25-34,Metro,Working Professional,"20,000-50,000",3-4 times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Mix of both,Cravings,Frequently,Somewhat structured,30-60 mins,No,"Form correction via video, AI workout plan",₹499-₹999,"Proven results, Personalization",Neutral,Obese,3,11-20,Travel,Never used any,₹2000+,Mental well-being,Full control (cook myself),1,2,2.0,1,1,3,2,2,4,1,1,0,0,0,0,1,1,0,0,0
168,student_hostel,18-24,Tier 3 / Rural,Working Professional,"50,000-1,00,000",1-2 times/week,Gym,General fitness,No proper diet,Vegetarian,Lactose intolerance,Home-cooked,Budget constraints,Rarely,Highly unpredictable,<30 mins,No,"AI workout plan, Diet planning",₹499-₹999,"Proven results, Personalization, Expert guidance",Neutral,Normal,4,20+,Lack of motivation,Never used any,₹999,Mental well-being,Full control (cook myself),2,1,0.0,2,0,3,2,3,3,1,0,1,0,0,0,1,1,1,0,0
169,student_hostel,18-24,Tier 2,Student,"20,000-50,000",1-2 times/week,Gym,Weight loss,Lack of motivation,Non-vegetarian,None,Mix of both,Lack of consistency,Rarely,Somewhat structured,30-60 mins,Yes,"Diet planning, Calorie tracking via photo, Allergy-specific diets",₹199-₹499,Proven results,Unlikely,Overweight,2,11-20,Lack of motivation,Too expensive,₹999,Looking good (aesthetics),Very limited control (hostel/mess),1,1,0.0,1,1,2,1,2,3,0,0,1,1,0,1,1,0,0,0,0
170,gym_enthusiast,45-54,Metro,Student,"<20,000",5+ times/week,Gym,Weight loss,Lack of time,Non-vegetarian,Other,Mix of both,No time to cook,Rarely,Very structured,<30 mins,Yes,"Calorie tracking via photo, AI workout plan, Allergy-specific diets",₹199-₹499,Personalization,Unlikely,Overweight,2,6-10,Travel,Lost motivation,₹999,Performance/strength,Partial control,0,3,0.0,0,0,2,1,1,3,1,0,0,1,0,1,0,1,0,0,0
171,busy_traveler,35-44,Tier 3 / Rural,Business Owner,"2,00,000+",3-4 times/week,Gym,Weight loss,Lack of motivation,Vegan,None,Mix of both,Lack of consistency,Occasionally,Somewhat structured,<30 mins,Yes,"AI workout plan, Diet planning",₹999+,"All-in-one solution, Proven results",Likely,Overweight,5,11-20,Travel,Too complicated,₹2000+,Health concerns,Partial control,4,2,1.0,1,0,4,3,2,4,1,0,1,0,0,0,1,0,0,0,1
172,student_hostel,Under 18,Tier 1,Student,"20,000-50,000",3-4 times/week,Gym,Muscle gain,No access to gym,Vegetarian,None,Home-cooked,Don't know what to eat,Rarely,Somewhat structured,30-60 mins,No,Calorie tracking via photo,₹499-₹999,"Proven results, All-in-one solution",Neutral,Underweight,3,6-10,Lack of motivation,Never used any,₹999,Health concerns,Very limited control (hostel/mess),1,2,0.0,1,1,3,2,1,3,0,0,0,1,0,0,1,0,0,0,1
173,gym_enthusiast,18-24,Metro,Student,"50,000-1,00,000",5+ times/week,Gym,Muscle gain,No access to gym,Non-vegetarian,Lactose intolerance,Order food frequently,Budget constraints,Occasionally,Very structured,60-90 mins,No,"Form correction via video, AI workout plan, Diet planning",₹999+,"All-in-one solution, Convenience, Personalization",Likely,Overweight,5,20+,Busy schedule,Never used any,₹2000+,Looking good (aesthetics),Partial control,2,3,1.0,0,2,4,3,3,4,1,1,1,0,0,0,0,1,0,1,1
174,young_professional,25-34,Tier 2,Working Professional,"1,00,000-2,00,000",Never,I don't work out,Weight loss,Lack of time,Vegetarian,None,Order food frequently,No time to cook,Rarely,Somewhat structured,30-60 mins,No,"Calorie tracking via photo, AI workout plan, Form correction via video",₹199-₹499,"All-in-one solution, Expert guidance, Convenience",Very unlikely,Normal,2,0-5,Busy schedule,Never used any,₹999,Mental well-being,Full control (cook myself),3,0,0.0,1,1,2,0,0,3,1,1,0,1,0,0,0,0,1,1,1
